EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	17:59:34	0.0010	4.4360	3.9822	0.1727	0.1727	0.1727	0.1727
2	18:01:32	0.0010	3.9941	3.7233	0.2076	0.2076	0.2076	0.2076
3	18:03:29	0.0010	3.6986	3.5087	0.2383	0.2383	0.2383	0.2383
4	18:05:26	0.0010	3.4140	3.2682	0.2722	0.2722	0.2722	0.2722
5	18:07:24	0.0010	3.1489	3.0819	0.3081	0.3081	0.3081	0.3081
6	18:09:23	0.0010	2.9146	2.8955	0.3383	0.3383	0.3383	0.3383
7	18:11:21	0.0010	2.7167	2.7356	0.3694	0.3694	0.3694	0.3694
8	18:13:21	0.0010	2.5559	2.6011	0.3972	0.3972	0.3972	0.3972
9	18:15:19	0.0010	2.4136	2.4956	0.4178	0.4178	0.4178	0.4178
10	18:17:18	0.0010	2.2949	2.3920	0.4445	0.4445	0.4445	0.4445
EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	18:29:43	0.0010	1.5570	1.3517	0.5166	0.5166	0.5166	0.5166
2	18:29:52	0.0010	1.2703	1.2610	0.5634	0.5634	0.5634	0.5634
3	18:30:01	0.0010	1.1527	1.1758	0.6160	0.6160	0.6160	0.6160
4	18:30:10	0.0010	1.0829	1.1328	0.6199	0.6199	0.6199	0.6199
5	18:30:19	0.0010	1.0158	1.0935	0.6452	0.6452	0.6452	0.6452
6	18:30:28	0.0010	0.9687	1.0512	0.6394	0.6394	0.6394	0.6394
7	18:30:38	0.0010	0.9146	1.0032	0.6472	0.6472	0.6472	0.6472
8	18:30:47	0.0010	0.8837	0.9543	0.6784	0.6784	0.6784	0.6784
9	18:30:57	0.0010	0.8243	0.9270	0.6745	0.6745	0.6745	0.6745
10	18:31:06	0.0010	0.7938	0.9007	0.6862	0.6862	0.6862	0.6862
11	18:31:15	0.0010	0.7487	0.8728	0.6940	0.6940	0.6940	0.6940
12	18:31:24	0.0010	0.7040	0.8689	0.6920	0.6920	0.6920	0.6920
13	18:31:33	0.0010	0.6660	0.8107	0.7310	0.7310	0.7310	0.7310
14	18:31:43	0.0010	0.6265	0.7921	0.7446	0.7446	0.7446	0.7446
15	18:31:52	0.0010	0.6080	0.7802	0.7388	0.7388	0.7388	0.7388
EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	18:44:59	0.0010	1.4984	1.3468	0.5224	0.5224	0.5224	0.5224
2	18:45:09	0.0010	1.2434	1.2016	0.5867	0.5867	0.5867	0.5867
3	18:45:19	0.0010	1.1106	1.0983	0.6218	0.6218	0.6218	0.6218
4	18:45:28	0.0010	1.0119	1.1037	0.6277	0.6277	0.6277	0.6277
5	18:45:38	0.0010	0.9337	1.0329	0.6706	0.6706	0.6706	0.6706
6	18:45:48	0.0010	0.8812	0.9765	0.6862	0.6862	0.6862	0.6862
7	18:45:58	0.0010	0.8258	0.9217	0.7154	0.7154	0.7154	0.7154
8	18:46:08	0.0010	0.7654	0.8872	0.7310	0.7310	0.7310	0.7310
9	18:46:18	0.0010	0.7165	0.8667	0.7251	0.7251	0.7251	0.7251
10	18:46:27	0.0010	0.6690	0.8565	0.7368	0.7368	0.7368	0.7368
11	18:46:37	0.0010	0.6286	0.8215	0.7505	0.7505	0.7505	0.7505
12	18:46:47	0.0010	0.5839	0.7505	0.7544	0.7544	0.7544	0.7544
13	18:46:56	0.0010	0.5348	0.7680	0.7602	0.7602	0.7602	0.7602
14	18:47:06	0.0010	0.5018	0.7291	0.7622	0.7622	0.7622	0.7622
15	18:47:15	0.0010	0.4682	0.7204	0.7661	0.7661	0.7661	0.7661
16	18:47:25	0.0010	0.4213	0.7024	0.7836	0.7836	0.7836	0.7836
17	18:47:34	0.0010	0.4041	0.6750	0.8109	0.8109	0.8109	0.8109
18	18:47:44	0.0010	0.3684	0.6989	0.7934	0.7934	0.7934	0.7934
19	18:47:53	0.0010	0.3466	0.7106	0.8109	0.8109	0.8109	0.8109
20	18:48:03	0.0010	0.3067	0.6843	0.8285	0.8285	0.8285	0.8285
