EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	15:53:30	0.0010	1.4978	1.2686	0.5698	0.5698	0.5698	0.5698
2	15:54:51	0.0010	1.2325	1.1245	0.6259	0.6259	0.6259	0.6259
3	15:56:11	0.0010	1.0862	1.0208	0.6484	0.6484	0.6484	0.6484
4	15:57:31	0.0010	0.9753	0.8836	0.6882	0.6882	0.6882	0.6882
5	15:58:52	0.0010	0.8951	0.8163	0.7176	0.7176	0.7176	0.7176
6	16:00:13	0.0010	0.8301	0.7883	0.7320	0.7320	0.7320	0.7320
7	16:01:34	0.0010	0.7817	0.7370	0.7488	0.7488	0.7488	0.7488
8	16:02:54	0.0010	0.7372	0.6845	0.7635	0.7635	0.7635	0.7635
9	16:04:15	0.0010	0.7045	0.6832	0.7610	0.7610	0.7610	0.7610
10	16:05:34	0.0010	0.6706	0.6447	0.7833	0.7833	0.7833	0.7833
11	16:06:55	0.0010	0.6422	0.6008	0.7939	0.7939	0.7939	0.7939
12	16:08:16	0.0010	0.6192	0.5833	0.8043	0.8043	0.8043	0.8043
13	16:09:37	0.0010	0.5973	0.5631	0.8024	0.8024	0.8024	0.8024
14	16:10:59	0.0010	0.5726	0.5306	0.8188	0.8188	0.8188	0.8188
15	16:12:21	0.0010	0.5553	0.5241	0.8273	0.8273	0.8273	0.8273
16	16:13:42	0.0010	0.5377	0.5130	0.8248	0.8248	0.8248	0.8248
17	16:15:07	0.0010	0.5235	0.4861	0.8348	0.8348	0.8348	0.8348
18	16:16:31	0.0010	0.5074	0.4705	0.8399	0.8399	0.8399	0.8399
19	16:17:54	0.0010	0.4944	0.4709	0.8413	0.8413	0.8413	0.8413
20	16:19:17	0.0010	0.4785	0.4611	0.8486	0.8486	0.8486	0.8486
21	16:20:40	0.0010	0.4666	0.4446	0.8513	0.8513	0.8513	0.8513
22	16:22:04	0.0010	0.4626	0.4306	0.8550	0.8550	0.8550	0.8550
23	16:23:29	0.0010	0.4535	0.4394	0.8586	0.8586	0.8586	0.8586
24	16:24:53	0.0010	0.4423	0.4487	0.8594	0.8594	0.8594	0.8594
25	16:26:15	0.0010	0.4327	0.4187	0.8688	0.8688	0.8688	0.8688
26	16:27:39	0.0010	0.4264	0.4310	0.8652	0.8652	0.8652	0.8652
27	16:29:00	0.0010	0.4256	0.4151	0.8656	0.8656	0.8656	0.8656
28	16:30:23	0.0010	0.4151	0.4091	0.8713	0.8713	0.8713	0.8713
29	16:31:45	0.0010	0.4109	0.3926	0.8741	0.8741	0.8741	0.8741
30	16:33:06	0.0010	0.4039	0.3959	0.8769	0.8769	0.8769	0.8769
EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS
1	23:07:13	0.0010	1.4707
2	23:09:36	0.0010	1.2352
3	23:11:57	0.0010	1.1041
4	23:14:17	0.0010	1.0069
5	23:16:36	0.0010	0.9419
6	23:18:57	0.0005	0.8629
EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	23:25:20	0.0010	1.5556	1.3930	0.4902	0.4902	0.4902	0.4902
2	23:27:07	0.0010	1.3624	1.2508	0.5560	0.5560	0.5560	0.5560
